epoch,loss,policy_loss,kl_penalty,reward_mean,reward_std,clip_fraction,approx_kl,advantage_mean,grad_norm,adv_saturation,adv_zero_rate,group_size,trained_prompt_num,r_ocr
173,0.000072,0.000002,0.001746,0.6764,0.3263,0.0451,0.000000,-0.000000,0.001921,0.0000,0.0156,8.00,1190,0.6764
174,0.000063,0.000001,0.001549,0.5627,0.3551,0.0226,0.000000,0.000000,0.001258,0.0000,0.0000,8.00,1197,0.5627
175,0.000076,0.000001,0.001887,0.6313,0.3466,0.0556,0.000000,-0.000000,0.001311,0.0000,0.0000,8.00,1203,0.6313
176,0.000069,0.000001,0.001713,0.5408,0.2780,0.0451,0.000000,0.000000,0.001521,0.0000,0.0469,8.00,1209,0.5408
177,0.000068,0.000002,0.001670,0.6693,0.2948,0.0503,0.000000,0.000000,0.002905,0.0000,0.0156,8.00,1217,0.6693
178,0.000066,0.000001,0.001627,0.7772,0.2701,0.0399,0.000000,-0.000000,0.001409,0.0000,0.0156,8.00,1225,0.7772
179,0.000062,0.000002,0.001481,0.6426,0.3511,0.0625,0.000000,-0.000000,0.000978,0.0000,0.0000,8.00,1232,0.6426
180,0.000062,0.000005,0.001419,0.8071,0.2319,0.0990,0.000000,-0.000000,0.002106,0.0000,0.0156,8.00,1239,0.8071
181,0.000063,0.000004,0.001479,0.5364,0.3387,0.0503,0.000000,-0.000000,0.001338,0.0000,0.0312,8.00,1247,0.5364
182,0.000064,-0.000001,0.001610,0.7910,0.2103,0.0382,0.000000,0.000000,0.001403,0.0000,0.0156,8.00,1255,0.7910
183,0.000064,0.000000,0.001599,0.6831,0.3192,0.0538,0.000000,0.000000,0.001281,0.0000,0.0312,8.00,1263,0.6831
184,0.000063,0.000002,0.001518,0.6847,0.3214,0.0521,0.000000,-0.000000,0.001270,0.0000,0.0312,8.00,1271,0.6847
185,0.000075,0.000004,0.001759,0.6451,0.2830,0.0503,0.000000,-0.000000,0.003487,0.0000,0.0000,8.00,1278,0.6451
186,0.000064,-0.000000,0.001602,0.6251,0.3455,0.0330,0.000000,0.000000,0.001443,0.0000,0.0000,8.00,1286,0.6251
187,0.000066,0.000004,0.001562,0.8095,0.2662,0.0694,0.000000,-0.000000,0.002075,0.0000,0.1250,8.00,1294,0.8095
188,0.000074,0.000004,0.001747,0.7217,0.3031,0.0521,0.000000,-0.000000,0.002017,0.0000,0.0156,8.00,1301,0.7217
189,0.000063,0.000001,0.001554,0.6947,0.3261,0.0347,0.000000,-0.000000,0.001649,0.0000,0.0312,8.00,1308,0.6947
190,0.000066,0.000003,0.001566,0.7612,0.2367,0.0434,0.000000,0.000000,0.001728,0.0000,0.0000,8.00,1316,0.7612
191,0.000059,0.000000,0.001478,0.5858,0.3823,0.0451,0.000000,-0.000000,0.000942,0.0000,0.0000,8.00,1323,0.5858
192,0.000066,0.000001,0.001623,0.6656,0.3188,0.0417,0.000000,-0.000000,0.001277,0.0000,0.0000,8.00,1329,0.6656
193,0.000066,0.000001,0.001630,0.6519,0.3170,0.0382,0.000000,-0.000000,0.001446,0.0000,0.0156,8.00,1337,0.6519
194,0.000063,0.000005,0.001456,0.5828,0.3750,0.0747,0.000000,-0.000000,0.001538,0.0000,0.0156,8.00,1344,0.5828
